epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,222.302,1.75883,0.94985,0.98355,0.87754,0.92308,0.91294,0.61058,1.30634,0.89735,1.06631,0.0011882,0.0011882,0.0011882
43,225.968,1.4847,0.90498,1.00212,0.97665,0.92308,0.92528,0.58376,1.3627,0.92507,1.08951,0.0011684,0.0011684,0.0011684
44,229.786,1.56206,0.87276,0.96371,1,0.832,0.89103,0.52448,1.5387,0.977,1.1252,0.0011486,0.0011486,0.0011486
45,233.698,1.71854,1.04945,0.96461,1,0.832,0.89103,0.52448,1.5387,0.977,1.1252,0.0011288,0.0011288,0.0011288
46,237.395,1.34934,0.84822,0.92474,1,0.84373,0.91919,0.50456,1.63052,0.9915,1.12966,0.001109,0.001109,0.001109
47,241.893,1.7872,1.00254,1.01829,0.99633,0.84615,0.9192,0.49102,1.57482,0.92685,1.10271,0.0010892,0.0010892,0.0010892
48,245.908,1.6641,0.96831,0.9966,0.99633,0.84615,0.9192,0.49102,1.57482,0.92685,1.10271,0.0010694,0.0010694,0.0010694
49,249.551,1.66765,0.89131,0.98019,0.89939,0.92308,0.9192,0.52494,1.48117,0.88557,1.07727,0.0010496,0.0010496,0.0010496
50,252.966,1.54606,0.93033,1.00545,0.89939,0.92308,0.9192,0.52494,1.48117,0.88557,1.07727,0.0010298,0.0010298,0.0010298
51,258.254,1.50644,0.95025,0.99731,0.93948,0.84615,0.91921,0.51845,1.38896,0.93145,1.05299,0.00101,0.00101,0.00101
52,263.603,1.53242,0.87386,0.93235,1,0.82501,0.90935,0.56609,1.34968,0.88521,1.04784,0.0009902,0.0009902,0.0009902
53,268.897,1.43941,0.85466,0.91707,1,0.82501,0.90935,0.56609,1.34968,0.88521,1.04784,0.0009704,0.0009704,0.0009704
54,272.218,1.73213,0.99459,1.03917,0.97432,0.92308,0.92534,0.53642,1.42158,0.84122,1.06224,0.0009506,0.0009506,0.0009506
55,278.293,1.58103,0.86243,0.96821,0.98849,0.84615,0.9018,0.5646,1.39814,0.8475,1.07985,0.0009308,0.0009308,0.0009308
56,283.583,1.48752,0.81393,0.92884,0.98849,0.84615,0.9018,0.5646,1.39814,0.8475,1.07985,0.000911,0.000911,0.000911
57,288.169,1.49834,0.86965,1.01349,1,0.90673,0.9253,0.55493,1.42467,0.90927,1.09308,0.0008912,0.0008912,0.0008912
58,292.617,1.36635,0.92351,1.01574,1,0.90673,0.9253,0.55493,1.42467,0.90927,1.09308,0.0008714,0.0008714,0.0008714
59,297.43,1.70816,1.1266,0.96805,0.89969,0.92308,0.91914,0.51182,1.61917,0.85268,1.23443,0.0008516,0.0008516,0.0008516
60,302.561,1.67837,0.83363,0.943,0.97879,0.84615,0.88705,0.51936,1.55645,0.80736,1.20547,0.0008318,0.0008318,0.0008318
61,306.56,1.62209,0.92201,0.90621,0.97879,0.84615,0.88705,0.51936,1.55645,0.80736,1.20547,0.000812,0.000812,0.000812
62,310.307,1.6811,0.89519,0.93133,1,0.81689,0.89106,0.55235,1.51349,0.83754,1.1849,0.0007922,0.0007922,0.0007922
63,314.734,1.35584,0.79679,0.90421,0.91432,0.82236,0.89868,0.55918,1.49049,0.88424,1.16203,0.0007724,0.0007724,0.0007724
64,319.245,1.73765,0.84211,0.95321,0.91432,0.82236,0.89868,0.55918,1.49049,0.88424,1.16203,0.0007526,0.0007526,0.0007526
65,322.923,1.27718,0.77821,0.99397,0.88412,0.76923,0.86684,0.51972,1.49166,0.87381,1.13416,0.0007328,0.0007328,0.0007328
66,327.454,1.38879,0.81997,0.94305,0.88412,0.76923,0.86684,0.51972,1.49166,0.87381,1.13416,0.000713,0.000713,0.000713
67,330.965,1.59284,0.88569,0.93627,0.83836,0.84615,0.87826,0.50425,1.4752,0.86767,1.09627,0.0006932,0.0006932,0.0006932
68,335.427,1.30255,0.78588,0.96517,0.83728,0.84615,0.85925,0.55056,1.34462,0.84389,1.04218,0.0006734,0.0006734,0.0006734
69,339.139,1.41303,0.75302,0.94411,0.83728,0.84615,0.85925,0.55056,1.34462,0.84389,1.04218,0.0006536,0.0006536,0.0006536
70,343.497,1.38795,0.7238,0.9181,0.8374,0.84615,0.85926,0.56105,1.32218,0.83222,1.04359,0.0006338,0.0006338,0.0006338
71,347.867,1.24755,0.69599,0.88791,0.83742,0.84615,0.85927,0.55722,1.34071,0.87255,1.07969,0.000614,0.000614,0.000614
72,352.445,1.51443,0.86483,0.9202,0.83742,0.84615,0.85927,0.55722,1.34071,0.87255,1.07969,0.0005942,0.0005942,0.0005942
73,357.312,1.42328,0.93856,0.95626,0.83785,0.84615,0.82427,0.5477,1.32968,0.85722,1.08001,0.0005744,0.0005744,0.0005744
74,362.017,1.58946,0.81845,0.91396,0.83785,0.84615,0.82427,0.5477,1.32968,0.85722,1.08001,0.0005546,0.0005546,0.0005546
75,367.142,1.61209,0.85442,0.95773,0.83741,0.84615,0.82427,0.51501,1.36781,0.89157,1.08975,0.0005348,0.0005348,0.0005348
76,371.889,1.51441,0.83735,0.97372,0.83011,0.84615,0.8283,0.50757,1.38923,0.9073,1.07946,0.000515,0.000515,0.000515
77,376.67,1.29022,0.81656,1.01674,0.83011,0.84615,0.8283,0.50757,1.38923,0.9073,1.07946,0.0004952,0.0004952,0.0004952
78,382.392,1.56633,0.79504,0.93108,0.78296,0.83332,0.8511,0.48964,1.50329,0.91723,1.16604,0.0004754,0.0004754,0.0004754
79,386.115,1.46803,0.77049,0.94446,0.80637,0.76923,0.84692,0.52351,1.46167,0.89521,1.16075,0.0004556,0.0004556,0.0004556
80,390.651,1.36861,0.7435,0.93195,0.80637,0.76923,0.84692,0.52351,1.46167,0.89521,1.16075,0.0004358,0.0004358,0.0004358
81,394.648,1.48766,0.77587,0.93795,0.78446,0.84032,0.83758,0.52529,1.43347,0.88871,1.14382,0.000416,0.000416,0.000416
82,398.178,1.53185,0.79248,0.89878,0.78446,0.84032,0.83758,0.52529,1.43347,0.88871,1.14382,0.0003962,0.0003962,0.0003962
83,402.413,1.30546,0.84412,0.92221,0.79674,0.76923,0.82026,0.54119,1.46604,0.8844,1.17787,0.0003764,0.0003764,0.0003764
84,406.332,1.35344,0.70534,0.95034,0.80085,0.76923,0.74638,0.52472,1.42461,0.83684,1.16454,0.0003566,0.0003566,0.0003566
85,410.308,1.39922,0.85553,0.90475,0.80085,0.76923,0.74638,0.52472,1.42461,0.83684,1.16454,0.0003368,0.0003368,0.0003368
86,414.523,1.33683,0.72189,0.8968,0.89001,0.84615,0.84786,0.53293,1.40874,0.81983,1.14712,0.000317,0.000317,0.000317
87,418.468,1.36082,0.73367,0.97792,0.89354,0.84615,0.83894,0.5262,1.35062,0.82537,1.09779,0.0002972,0.0002972,0.0002972
88,422.596,1.42618,0.72584,0.89654,0.89354,0.84615,0.83894,0.5262,1.35062,0.82537,1.09779,0.0002774,0.0002774,0.0002774
89,426.003,1.32026,0.70228,0.87641,0.85565,0.9126,0.84352,0.54085,1.30713,0.88217,1.06019,0.0002576,0.0002576,0.0002576
90,430.597,1.29761,0.73122,0.93382,0.85565,0.9126,0.84352,0.54085,1.30713,0.88217,1.06019,0.0002378,0.0002378,0.0002378
91,436.104,1.2204,0.76693,0.88827,0.8557,0.91296,0.84351,0.53235,1.29975,0.92436,1.05117,0.000218,0.000218,0.000218
92,440.549,1.06838,0.66796,0.89815,0.85568,0.91287,0.84352,0.51041,1.35638,0.92624,1.04758,0.0001982,0.0001982,0.0001982
93,444.906,1.14322,0.67608,0.89105,0.85568,0.91287,0.84352,0.51041,1.35638,0.92624,1.04758,0.0001784,0.0001784,0.0001784
94,448.989,1.10807,0.71703,0.91246,0.89606,0.84615,0.83893,0.48595,1.3498,0.90809,1.03894,0.0001586,0.0001586,0.0001586
95,453.966,1.20079,0.6933,0.88745,0.89909,0.84615,0.83894,0.48278,1.35316,0.87444,1.05378,0.0001388,0.0001388,0.0001388
96,458.247,1.17476,0.68482,0.89736,0.89909,0.84615,0.83894,0.48278,1.35316,0.87444,1.05378,0.000119,0.000119,0.000119
97,461.194,1.14566,0.70633,0.85961,0.90093,0.84615,0.83894,0.49846,1.27825,0.84723,1.0289,9.92e-05,9.92e-05,9.92e-05
98,464.811,1.23223,0.70469,0.89069,0.90093,0.84615,0.83894,0.49846,1.27825,0.84723,1.0289,7.94e-05,7.94e-05,7.94e-05
99,468.682,1.24332,0.7388,0.93183,0.9008,0.84615,0.83894,0.50032,1.29056,0.83166,1.05199,5.96e-05,5.96e-05,5.96e-05
100,472.87,1.21089,0.71126,0.90665,0.90253,0.84615,0.83493,0.4915,1.2971,0.82951,1.06005,3.98e-05,3.98e-05,3.98e-05
